Gene	NoUVB.1	NoUVB.2	NoUVB.3	UVB-Saline.1	UVB-Saline.2	UVB-Saline.3	UVB-hCOL3A1.1	UVB-hCOL3A1.2	UVB-hCOL3A1.3
ENSMUSG00000087377_AV099323	34.29	30.07	47.89	26.37	24.87	22.15	33.88	45.53	42.23
ENSMUSG00000087378_Gm12414	0	0	0	0	0	0	0	1	0
ENSMUSG00000087379_Gm13849	0	0	0	0	0	0	0	0	0
ENSMUSG00000087380_2210408F21Rik	44	70	73.63	46	79.54	51	64	52	62
ENSMUSG00000087381_Gm16008	12.45	18.83	7.06	10.44	17.36	6.21	8.1	8.49	7.54
ENSMUSG00000087382_Ctcflos	47	102.69	53.93	34.81	83	47	52.85	67.8	46.4
ENSMUSG00000087383_Gm12446	4	9	6.33	10.41	2	3.92	9	7	4
ENSMUSG00000087384_Gm15558	12	15	18	15	21	7	21	16	13
ENSMUSG00000087385_Frg2f1	15	17	15	18	32	14	26	12	14
ENSMUSG00000087386_Gm15637	0	0	0	0	0	0	0	0	0
ENSMUSG00000087387_Gm15420	0	0	0	0	1	0	0	0	1
ENSMUSG00000087388_Gm12128	0	0	0	0	0	0	0	0	0
ENSMUSG00000087389_Gm15592	0	1	0	0	0	0	0	1	0
ENSMUSG00000087390_Gm7598	2	4	6	1	3	5	13	2	5
ENSMUSG00000087393_1700023C21Rik	0	0	0	0	0	0	0	0	0
ENSMUSG00000087394_Gm12945	0	0	0	2.83	4.61	0	0	2.6	0
ENSMUSG00000087395_Gm12705	2	1	4	0	2	2	2	4	4
ENSMUSG00000087396_4933407K13Rik	56.67	87.77	52	87.07	95.37	62	86	68.12	58
ENSMUSG00000087397_Rapgef3os2	1	0	2	1.08	0	1.09	3.23	0	1
ENSMUSG00000087398_Gm12343	0	1	0	0	0	0	0	1	0
ENSMUSG00000087399_Gm11899	0	0	0	0	0	0	0	0	0
ENSMUSG00000087400_Gm15270	10.03	7.79	3.14	34.9	24.72	0.45	2.26	7.38	24.4
ENSMUSG00000087401_Gm14664	0	0	1	0	0	0	0	0	0
ENSMUSG00000087402_Gm11867	0	0	0	0	0	1	0	0	0
ENSMUSG00000087403_Kantr	25	40	33	29	55	21	41	33	27
ENSMUSG00000087404_Gm11752	1	0	0	1	1	0	0	0	0
ENSMUSG00000087405_Gm14232	0	2.6	0.25	0	0.12	0.7	3.86	0	1.81
ENSMUSG00000087406_E130215H24Rik	3	1	2	0	0	0	0	1	4
ENSMUSG00000087407_Gm11431	0	0	0	0	0	0	0	0	0
ENSMUSG00000087408_Cers1	1.92	5.71	3.85	0	5.8	3.85	8.75	9.62	12
ENSMUSG00000087409_Gm14271	0	0	0	0	0	0	0	0	0
ENSMUSG00000087410_2310065F04Rik	0	0	2	1	3	3	3	0	2
ENSMUSG00000087411_Gm16048	0	0	0	0	3.05	1.16	0	0	0
ENSMUSG00000087412_Gm15501	2.4	0	2.14	7.1	0	7.57	14.05	1.14	17.13
ENSMUSG00000087413_Gm11266	10	10	11	11	8	8	19	14	5
ENSMUSG00000087415_Gm14529	0	0	0	0	0	0	0	0	0
ENSMUSG00000087416_Gm15906	0	0	0	0	0	0	0	0	0
ENSMUSG00000087417_Gm13001	0	1	0	0	0	0	0	0	0
ENSMUSG00000087422_Gm13564	0	0	0	1	0	0	1	0	0
ENSMUSG00000087424_5730405O15Rik	1	4	5	4	5	6	4	7	3
ENSMUSG00000087425_Gm15404	0	0	0	0	0	0	0	0	0
ENSMUSG00000087428_Gm15017	0	0	0	0	0	0	0	0	0
ENSMUSG00000087429_Gm16235	1	3.59	2	0	3.15	2.33	2.31	1	4.44
ENSMUSG00000087430_Gm13405	0	0	1.26	0	1.22	2.88	2.23	0	1.27
ENSMUSG00000087431_Gm16054	0	0	2.37	2.66	2.76	0	0	0	0
ENSMUSG00000087432_Gm15123	0	0	0	0	0	0	0	0	0
ENSMUSG00000087433_Gm14167	1	10	5	5	6	3	6	6	2
ENSMUSG00000087434_Rab11fip4os1	0	3	3	1	1	1	2	0	1
ENSMUSG00000087435_Gm16323	2.44	7.81	5.83	3.05	10.94	0	12.58	4.87	17.2
ENSMUSG00000087436_Gm16156	2.27	1.13	0	2.3	6.59	11.64	3.34	1.12	3.23
ENSMUSG00000087437_Gm13112	0	2	0	0	0	0	2	0	0
ENSMUSG00000087439_Gm15788	0	1	1.37	0	2	0	2	2	1.38
ENSMUSG00000087440_4930577N17Rik	15.53	31.17	32.11	14.82	22.55	21.34	39.91	27.63	23.41
ENSMUSG00000087441_Gm13853	0	0	0	0	0	0	0	0	0
ENSMUSG00000087442_Gm14453	0	0	0	0	0	1.57	0	1.51	0
ENSMUSG00000087443_Ppp1r18os	1	0	2.63	0	3	5	2.02	0	3
ENSMUSG00000087444_Gm5475	3	6	2.02	9	11	8	8	3.1	3
ENSMUSG00000087445_Gm14286	0	1	1	2	1	3	4	1	5
ENSMUSG00000087449_Gm12971	1	2	2	2	0	2	2	2	0
ENSMUSG00000087450_Gm13994	1	0	1	0	0	4	0	0	0
ENSMUSG00000087451_Gm12970	2	0	2	2	2	1	1	3	3
ENSMUSG00000087452_Gm11998	2	1	0	0	0	1	3	0	0
ENSMUSG00000087454_Gm13174	0	0	0	0	0	0	0	0	0
ENSMUSG00000087455_5330411J11Rik	0	0	0	0	0	0	0	0	0
ENSMUSG00000087456_Gm16322	0	0	0	0	0	0	0	0	0
ENSMUSG00000087457_Gm7799	0	0	0	0	0	1	0	0	0
ENSMUSG00000087458_Gm13999	1.18	4.92	1.37	1.49	5.22	3.72	4.04	0	1.24
ENSMUSG00000087459_Csmd2os	0	0	0	0	0	0	0	0	0
ENSMUSG00000087460_4930401O12Rik	0	0	0	0	1	0	0	0	0
ENSMUSG00000087461_C230014O12Rik	0	0	3	0	1.08	0	0	1	0
ENSMUSG00000087462_Gm2200	0	0	0	0	0	0	0	0	0
ENSMUSG00000087464_Gm12862	0	0	0	0	0	0	0	0	0
ENSMUSG00000087465_Gm13905	0	0	0	0	0	0	0	0	0
ENSMUSG00000087466_A330041J22Rik	0	0	0	0	2	0	1	0	0
ENSMUSG00000087467_Gm13601	0	0	0	0	0	0	0	0	0
ENSMUSG00000087468_Gm7023	0	0	0	0	0	0	0	0	0
ENSMUSG00000087469_Gm16142	3	2	4	1	6	0	1	0	3
ENSMUSG00000087470_A630031M04Rik	0	0	0	0	0	0	0	0	0
ENSMUSG00000087473_Gm13883	0	0	0	0	0	0	0	0	0
ENSMUSG00000087474_Gm12100	0	0	0	0	2.01	0	0	0	0
ENSMUSG00000087475_4933406I18Rik	11	21	22	8	25	19	26	19	15
ENSMUSG00000087476_Rap1gapos	0	0	1	0	0	0	0	0	0
ENSMUSG00000087477_Gm13822	0	0	0	0	0	0	2	1	0
ENSMUSG00000087478_4930506C21Rik	2.06	2.08	3.03	3.18	5.12	2.1	5.23	6.14	2.1
ENSMUSG00000087479_Gm16835	0	0	2	1	3	0	1	1	1
ENSMUSG00000087480_Gm15910	22	33	26	19	31	26	45	19	15
ENSMUSG00000087482_Gm12720	0	0	0	0	0	0	0	0	0
ENSMUSG00000087484_2900089D17Rik	5	9.06	12	10	10.04	14	8.13	8	12.13
ENSMUSG00000087485_Gm13383	0	1	0	0	0	0	1	0	0
ENSMUSG00000087486_Gm11723	1	0	3	0	1	1	1	2	1
ENSMUSG00000087487_Ppp2r2cos	1	1	2	2	2	1	6	3	6
ENSMUSG00000087489_Gm15656	0	2	2	7	5	1	9	1	3
ENSMUSG00000087491_Gm14552	0	0	0	0	0	0	0	0	0
ENSMUSG00000087492_Gm15700	4	2	2	2	2	4	2	2	0
ENSMUSG00000087495_Gm14152	0	0	0	0	0	0	0	0	0
ENSMUSG00000087496_Gm13523	0	0	4	4	5	1	8	5	4
ENSMUSG00000087497_2810001G20Rik	4	5	6	3	8	8	3	2	5
ENSMUSG00000087500_Gm12426	0	0	0	0	0	0	0	0	1
ENSMUSG00000087501_Gm12116	0	1	1	1	1	1	1	8	1
ENSMUSG00000087502_Gm16091	8	16	10	11	10	7	11	5	24
ENSMUSG00000087504_Gm13658	0	0	0	0	0	0	0	0	0
ENSMUSG00000087505_Gm15241	1	0	1	0	0	0	0	0	0
ENSMUSG00000087507_Gm16141	4	2	7	2	6	3	5	3	5
ENSMUSG00000087508_Gm14174	0	0	0	0	0	0	0	0	0
ENSMUSG00000087510_1700112K13Rik	0	0	0	0	0	0	0	0	0
ENSMUSG00000087512_Ccdc201	0	0	0	0	0	0	0	0	0
ENSMUSG00000087513_Gm13236	0	0.5	0	0.5	0	0.5	0.5	0	0
ENSMUSG00000087514_Gm16076	0	0	0	0	0	0	0	0	0
ENSMUSG00000087515_Gm13554	0	0	0	0	0	0	0	0	0
ENSMUSG00000087516_Tbx3os1	4.21	8	4	5.61	4	5	3.1	5	4.17
ENSMUSG00000087517_4930577H14Rik	0	0	0	0	0	0	0	0	0
ENSMUSG00000087518_Gm13561	1	2.24	0	0	3.86	2	1.36	0	5
ENSMUSG00000087519_AV039307	3	2.12	3	3	5.55	4.16	6.16	2.77	2.15
ENSMUSG00000087520_Gm14389	0	1	0	0	1	0	1	0	0
ENSMUSG00000087521_AI646519	0	0	0	0	0	0	0	0	0
ENSMUSG00000087522_Gm371	0	1	1	0	0	2	2	0	1
ENSMUSG00000087523_Gm12319	5	14	6	5	7	8.61	13.41	5	8
ENSMUSG00000087524_Gm14285	0.17	0	0	0	0	0	0	0	0
ENSMUSG00000087525_Gm13062	0	2	2	2	2	1	1	0	2
ENSMUSG00000087526_Gm15738	7	3	3.07	2	3.11	5.19	7	4	5.04
ENSMUSG00000087527_Gm13656	0	0	0	0	0	0	0	0	0
ENSMUSG00000087528_9830144P21Rik	9.41	5.27	5.3	4.3	5.29	4.24	10.45	8.2	2.07
ENSMUSG00000087530_Gm15533	9.05	7.35	4.15	11.97	19.58	11.37	9.86	7.64	10.56
ENSMUSG00000087531_Gm15606	6	6	1	1	3	2	3	0	6
ENSMUSG00000087532_Gm15938	0	0	2	1.13	3	2	2.21	1	1
ENSMUSG00000087534_Gm11418	0	0	0	0	0	0	0	0	0
ENSMUSG00000087535_Zmiz1os1	25.73	42.98	47.71	40.58	51.82	32.95	42.32	31.25	35.66
ENSMUSG00000087536_Gm14246	0	0	0	0	0	0	0	0	0
ENSMUSG00000087537_Gm13799	0	0	0	0	0	0	0	0	0
ENSMUSG00000087538_Gm16341	0	1	1	0	0	1	0	0	0
ENSMUSG00000087539_Gm13584	3	5	2	7	4	1	1	1	2
ENSMUSG00000087540_Gm11412	1	0	0	0	0	0	0	0	1
ENSMUSG00000087541_Hopxos	25.12	18.14	28.03	17.14	21.46	5.54	16.32	10.51	18.85
ENSMUSG00000087542_Gm15878	0	0	1	0	0	0	0	0	0
ENSMUSG00000087543_Gm16576	16	24	11	19	25	14	27	31	17
ENSMUSG00000087544_Gm13923	0	0	0	0	0	0	0	0	0
ENSMUSG00000087545_Gm13966	6.46	6.26	15.63	10.2	9.79	3.01	13.78	14.16	11.69
ENSMUSG00000087547_Platr27	0	0	0	0	0	0	0	0	0
ENSMUSG00000087549_Gm13427	0	2	2	3.07	0	0	0	0	1
ENSMUSG00000087550_Gm14343	0	0	0	0	0	0	0	0	0
ENSMUSG00000087552_Gm15819	3.16	3.57	1.18	2	3.23	5.92	1.05	3	1
ENSMUSG00000087553_5730412P04Rik	0	0	0	0	0	0	0	0	0
ENSMUSG00000087555_Gm13997	0	0	0	0	0	0	0	0	0
ENSMUSG00000087556_Gm15764	5	12	13	5	10	5	13	11	11
ENSMUSG00000087559_Gm13802	0	0	0	0	0	0	0	0	0
ENSMUSG00000087561_Gm11608	0	0	0	0	0	0	0	0	0
ENSMUSG00000087563_Gm14205	0	0	0	0	0	0	0	0	0
ENSMUSG00000087564_Gm11817	0	0	0	0	0	0	0	0	0
ENSMUSG00000087565_Gm14662	0	0	0	0	0	0	0	0	0
ENSMUSG00000087568_Maats1os	0	0	0	0	0	0	0	0	0
ENSMUSG00000087569_Actb-ps1	0	0.5	0	0	0.51	0	0	0	0.5
ENSMUSG00000087570_Gm13647	0	0	0	0	0	0	1	0	0
ENSMUSG00000087571_Gm15202	0	2	3	1	1	0	1	2	0
ENSMUSG00000087574_C030037D09Rik	13	18	12	16	17	9	18	18	17
ENSMUSG00000087575_Gm12976	0	1	0	1	1	0	0	0	0
ENSMUSG00000087577_Gm13299	1.28	0	0	0	0	0	0	1	1.28
ENSMUSG00000087578_Ccdc142os	9	6	10	8.04	5	2.41	11	12.77	11.46
ENSMUSG00000087579_Hectd2os	4.16	0	6.07	0	0	1	3.5	0	1
ENSMUSG00000087581_Gm11571	17.21	11	13	11	11.1	1.03	10	7	2
ENSMUSG00000087582_Ighv6-7	0	0	0	0	0	0	0	0	0
ENSMUSG00000087584_Gm14457	0	0	0	0	0	0	0	0	0
ENSMUSG00000087585_Gm14100	0	0	0	0	0	0	0	0	0
ENSMUSG00000087586_Gm6938	0	1	0	5	0	0	1	1	0
ENSMUSG00000087587_Gm15245	0	0	0	0	0	0	0	0	0
ENSMUSG00000087588_Gm16355	0	0	0	0	0	0	0	0	0
ENSMUSG00000087589_D430040D24Rik	4.34	18.24	16.46	14.05	22.22	15.25	12.19	21.01	7.5
ENSMUSG00000087590_Epb41l4aos	21.22	16.21	28.11	19.43	20.38	24.29	13.12	19.21	18.42
ENSMUSG00000087591_Gm14635	0	0	0	0	0	0	0	0	0
ENSMUSG00000087592_Gm11184	0	0	0	0	0	0	0	0	0
ENSMUSG00000087593_Gm16174	0	0	2	2	3	8	3	1	0
ENSMUSG00000087595_1810012K08Rik	6.57	12.91	14.56	13.39	13.16	9.63	15.87	7.96	15.52
ENSMUSG00000087596_Gm11715	0	0	0	0	0	0	0	0	0
ENSMUSG00000087597_Gm15345	1	4	9	4	2	3	3	4	5
ENSMUSG00000087598_Zfp111	89.34	112.95	118	114	124.42	77.49	135.01	102.24	94.3
ENSMUSG00000087600_Pmepa1os	0	1	1	0	2	0	1	1	0
ENSMUSG00000087601_Uchl1os	0	0	0	0	0	0	0	0	0
ENSMUSG00000087602_Gm12753	0	1	0	0	0	0	0	0	0
ENSMUSG00000087603_Gm11339	0	0	0	0	0	0	0	0	0
ENSMUSG00000087604_Cdrt4os1	0	0	0	2	2	2	0	0	0
ENSMUSG00000087605_Gm15742	1	2	0	1	2	1	1	0	0
ENSMUSG00000087606_Gm16121	6	28	9	10	15	10	15	23	12
ENSMUSG00000087607_Gm16034	0	0	0	0	0	0	0	0	0
ENSMUSG00000087608_Gm12914	0	0	0	0	0	0	0	0	0
ENSMUSG00000087609_4930442J19Rik	0	0	0	0	0	0	0	0	0
ENSMUSG00000087610_Gm16253	6	6	3	4	4	3	9	1	1
ENSMUSG00000087611_4930458D05Rik	4.43	6.57	3.33	2.58	2.09	2.44	4.24	6.35	6.38
ENSMUSG00000087612_A230005M16Rik	0	0	0	0	0	0	0	0	0
ENSMUSG00000087613_Gm13855	0	0	1	0	0	1	0	1	0
ENSMUSG00000087614_Gm12514	0	0	0	1	0	0	0	0	0
ENSMUSG00000087615_Pnpla1os	0	2.11	1.12	0	0	1.12	0	1.08	1.04
ENSMUSG00000087616_Gm14257	0	1	0	1	0	0	0	0	0
ENSMUSG00000087617_Gm14268	0	0	0	0	0	0	0	0	0
ENSMUSG00000087618_Gm14114	0	0	0	0	0	0	0	0	0
ENSMUSG00000087620_5330434G04Rik	0	3	2	0	1	0	2	0	0
ENSMUSG00000087621_1700003G18Rik	0	1	0	1	0	1	2	0	0
ENSMUSG00000087622_Gm12290	0	0	0	0	0	0	0	0	0
ENSMUSG00000087623_Gm12404	7	11	4	8	7.08	8	9	2	4.23
ENSMUSG00000087624_9230111E07Rik	2	5	5	7.8	8	7	6.53	5	4.54
ENSMUSG00000087625_4930419G24Rik	1	0	0	0	0	0	1	0	0
ENSMUSG00000087626_Gm15050	0	1	4	3	2	0	1	0	1
ENSMUSG00000087627_A230059L01Rik	0	1	2	0	1	0	0	0	0
ENSMUSG00000087628_Gm13028	0	0	0	0	0	0	0	0	0
ENSMUSG00000087629_Gm12246	3	3	1	2	2	1	3	0	1
ENSMUSG00000087630_Gm11513	0	1	1	1	2	0	0	0	0
ENSMUSG00000087632_Gm6058	4	2	5	2	2	1	3	1	3
ENSMUSG00000087633_Gm14455	0	1.28	3.91	6.49	0	5.9	6.44	2.54	8.89
ENSMUSG00000087635_Gm13414	0	1.21	5.57	3.46	6.86	4.06	5.45	2.86	5.14
ENSMUSG00000087636_Gm4660	0	0	0	0	0	0	0	0	0
ENSMUSG00000087637_Gm11986	0	0	0	0	0	0	0	0	0
ENSMUSG00000087638_Gm11773	1	0	0	0	0	2	0	0	0
ENSMUSG00000087639_Gm15512	6.62	6.32	6.62	11.84	6.55	0	4.78	6.6	6.1
ENSMUSG00000087640_Gm14798	5.32	3.5	1.55	7.51	7.2	1.67	8.34	8.21	6.88
ENSMUSG00000087641_Gm12811	0	0	1.69	0	0	0	0	0	0
ENSMUSG00000087642_Ighe	0	1	0	0	0	0	0	0	5
ENSMUSG00000087643_Gm11314	0	0	0	0	0	0	0	0	0
ENSMUSG00000087644_Gm14703	1.38	11.83	7.15	11.69	3.45	0	3.16	5.22	1.6
ENSMUSG00000087646_Gm1667	0	1	2	1	0	0	0	1	2
ENSMUSG00000087647_Gm15407	0	0	0	0	0	0	0	0	0
ENSMUSG00000087648_E130018N17Rik	0	1	0	2	0	0	0	1	0
ENSMUSG00000087649_Gm21979	0	0	0	0	0	0	0	0	0
ENSMUSG00000087651_1500009L16Rik	3	0	5	6	3	5	9	9	7
ENSMUSG00000087652_Gm15918	0	0	1.4	0.19	0	1	2	0.01	0
ENSMUSG00000087654_Gm12256	0	0	0	0	0.23	0	0	0	0
ENSMUSG00000087657_Gm16764	0	0	0	0	0	0	0	0	0
ENSMUSG00000087658_Hotairm1	4.3	3	7	4	8	2	2	3	3
ENSMUSG00000087659_Gm12606	3	6	10	3	15	40	8	8	12
ENSMUSG00000087660_B230398E01Rik	6.14	3.8	3.75	9.06	0	5.14	12.1	3.3	3.2
ENSMUSG00000087662_Gm11373	8	6	7	3	6	2	4	2	5
ENSMUSG00000087663_Defa-ps3	0	0	0	0	0	0	0	0	0
ENSMUSG00000087666_Trav13-5	0	0	0	0	0	0	0	0	0
ENSMUSG00000087667_Gm13381	1	0	1	4	1	0	1	0	0
ENSMUSG00000087668_Gm11186	0	1	0	0	0	0	0	0	0
ENSMUSG00000087669_Gm11724	1.58	2	2	4	7.73	2	11	1	6
ENSMUSG00000087670_9530036M11Rik	3	2	2	1	4	1	7	9	2
ENSMUSG00000087672_Gm15122	3	1	5	1	0	3.19	2.54	5	3
ENSMUSG00000087674_4930447M23Rik	0	1	3	2	3	0	3	2	2
ENSMUSG00000087675_Gm11762	0	0	0	0	0	0	0	0	0
ENSMUSG00000087677_Gm15226	0	0	1	0	0	0	0	0	0
ENSMUSG00000087678_Gm14120	0	0	0	0	0	0	0	0	0
ENSMUSG00000087679_Tmem250-ps	103.43	159.09	129.44	150.61	290.84	139.37	241.13	175.04	121.48
ENSMUSG00000087681_Gm13565	0	0	0	0	0	0	0	0	0
ENSMUSG00000087682_Gm14003	0	0	0	0	0	0	0	0	0
ENSMUSG00000087683_Gm11712	0	0	0	0	0	0	1	2	0
ENSMUSG00000087684_1200007C13Rik	0	4	1	4	4	4	2	3	1
ENSMUSG00000087685_1700122E12Rik	1	1	1	0	0	0	0	0	0
ENSMUSG00000087687_Pet100	37	114	103.94	81.85	80.82	87	114	86	61.94
ENSMUSG00000087688_Gm11300	0	0	0	0	0	0	0	0	0
ENSMUSG00000087689_Gm15845	1.06	0	2.14	3.16	2.12	7.51	1.07	0	0
ENSMUSG00000087690_Gm16031	2	1.55	3	3	3	0	6	1	4
ENSMUSG00000087691_Cd55os	34.43	55.49	51.89	30.61	23.55	22.05	74.58	48.41	42.73
ENSMUSG00000087692_Gm11940	7.14	11.21	12.22	13.33	22.57	7.2	18.42	6.11	15.44
ENSMUSG00000087693_Gm16191	0	0	0	0	0	0	0	0	0
ENSMUSG00000087694_A530058N18Rik	0	0	0	0	0	0	0	1	0
ENSMUSG00000087695_Gm16291	0	0	0	0	0	0	0	0	0
ENSMUSG00000087698_Gm13031	0	0	0	0	0	0	1.07	0	2.44
ENSMUSG00000087700_Gm15283	11.74	22.74	16.2	21.39	26.34	35.07	29.25	15.46	25.03
ENSMUSG00000087701_Gm13493	0	0	0	0	0	0	0	0	0
ENSMUSG00000087702_Gm13575	0	0	0	0	0	0	0	0	0
ENSMUSG00000087703_Gm15650	1	5.24	3.11	2	4.15	4.28	3	1.1	2.17
ENSMUSG00000087704_Gm14978	0	0	0	0	0	0	0	0	0
ENSMUSG00000087707_Gm22999	0	0	0	0	1	0	0	0	0
ENSMUSG00000087708_Gm23000	0	0	0	0	0	0	0	0	0
ENSMUSG00000087712_Gm25828	0	0	0	0	0	0	0	0	0
ENSMUSG00000087714_Gm25827	0	0	0	0	0	0	1	0	0
ENSMUSG00000087715_Gm25826	0	0	0	0	0	0	0	0	0
ENSMUSG00000087717_Gm25824	0	0	0	0	0	0	0	0	0
ENSMUSG00000087718_Gm22236	0	0	0	0	0	0	0	0	0
ENSMUSG00000087719_Gm26464	0	1	2	2	5	2	0	0	2
ENSMUSG00000087720_Gm26279	0	0	0	0	0	0	0	0	0
ENSMUSG00000087722_Gm26277	0	0	0	0	0	0	0	0	0
ENSMUSG00000087723_Gm26278	0	0	0	0	0	0	0	0	0
ENSMUSG00000087724_Gm26276	0	0	0	0	0	0	0	0	0
ENSMUSG00000087734_Gm24646	0	0	0	0	0	0	1	0	0
ENSMUSG00000087736_Gm24648	0	0	0	0	0	0	0	0	0
ENSMUSG00000087739_Gm24644	2	0	0	2	2	4	1	0	2
ENSMUSG00000087742_Gm25152	0	0	0	0	0	0	0	0	0
ENSMUSG00000087746_Gm25150	0	0	0	0	0	0	0	0	0
ENSMUSG00000087747_Gm25151	0	0	0	0	0	0	0	0	0
ENSMUSG00000087752_Gm23467	0	0	0	1.84	0	0	0	0.18	0
ENSMUSG00000087754_Gm23470	0	0	0	0	0	0	1	0	0
ENSMUSG00000087760_Gm23980	0	0	0	0	0	0	0	0	0
ENSMUSG00000087761_Gm23981	0	0	0	0	0	0	0	0	0
ENSMUSG00000087764_Gm23984	0	0	0	0	0	0	0	0	0
ENSMUSG00000087765_Gm23985	0	0	0	0	0	0	0	0	0
ENSMUSG00000087769_Gm23986	0	0	0	0	0	0	0	0	0
ENSMUSG00000087772_Gm22319	0	0	0	0	0	0	0	0	0
ENSMUSG00000087775_Rprl2	6.03	3	17.2	16.19	20.19	14.12	8.05	8.02	14.07
ENSMUSG00000087776_Gm22322	0	0	0	0	0	0	0	0	0
ENSMUSG00000087777_Gm22321	0	0	0	0	0	0	0	0	0
ENSMUSG00000087780_Gm23167	0	0	3	0	0	0	0	0	0
ENSMUSG00000087781_Gm23168	0	0	0	0	0	0	0	0	0
ENSMUSG00000087782_Gm23169	0	0	0	0	0	0	0	0	0
ENSMUSG00000087790_Gm25970	0	0	0	0	0	0	0	0	0
ENSMUSG00000087792_Gm25968	0	0	0	0	2	0	2	0	0
ENSMUSG00000087793_Gm25967	0	0	1	1	0	0	0	0	0
ENSMUSG00000087795_Gm25965	1	0	2	0	0	0	0	0	0
ENSMUSG00000087796_Gm25964	0	0	0	0	0	0	0	0	0
ENSMUSG00000087800_Gm25569	0	0	0	0	0	0	0	0	0
ENSMUSG00000087802_Gm25979	0	0	0	0	0	0	0	0	0
ENSMUSG00000087804_Gm23434	0	0	0	0	0	0	0	0	0
ENSMUSG00000087805_Gm27926	0	0	0	0	0	0	0	0	0
ENSMUSG00000087806_Gm23432	0	0	0	0	0	0	0	0	0
ENSMUSG00000087808_Gm23435	0	1	0	0	0	0	0	0	0
ENSMUSG00000087810_Gm25113	0	0	0	0	0	0	0	0	0
ENSMUSG00000087812_Gm25115	0	0	0	0	0	0	0	0	0
ENSMUSG00000087813_Gm22490	0	0	0	0	0	0	0	0	0
ENSMUSG00000087815_Gm22491	0	0	0	0	0	0	0	0	0
ENSMUSG00000087816_Gm25116	0	0	0	0	0	0	0	0	0
ENSMUSG00000087819_Gm25117	85	78	138	125	176	142	150	80	79.07
ENSMUSG00000087820_Mir1928	0	0	0	0	0	0	0	0	0
ENSMUSG00000087823_Gm22281	0	0	0	0	0	0	0	0	0
ENSMUSG00000087825_Gm22279	0	0	0	0	0	0	0	0	0
ENSMUSG00000087831_Gm23960	0	0	0	0	0	0	0	0	0
ENSMUSG00000087832_Gm23958	0	0	0	0	0	0	0	0	0
ENSMUSG00000087835_Gm24481	0	0	0	0	0	0	0	0	0
ENSMUSG00000087839_Gm23955	0	0	0	0	0	0	0	0	0
ENSMUSG00000087841_Gm25623	0	0	0	0	0	0	0	0	0
ENSMUSG00000087842_Gm25622	0	0	0	0	0	0	0	0	0
ENSMUSG00000087844_Mir1958	0	0	0	0	0	0	0	0	0
ENSMUSG00000087847_Gm25624	0	0	0	0	0	0	0	0	0
ENSMUSG00000087850_Gm22792	0	0	0	0	0	0	0	0	0
ENSMUSG00000087855_Mir432	0	0	0	0	0	0	0	0	0
ENSMUSG00000087857_Gm22791	0	0	0	0	0	0	1	1	0
ENSMUSG00000087858_Gm22795	0	0	0	0	0	0	0	0	0
ENSMUSG00000087861_Gm24440	0	0	0	0	0	0	0	0	0
ENSMUSG00000087862_Gm23048	0	0	0	0	0	0	0	0	0
ENSMUSG00000087867_Gm24443	0	0	0	0	0	0	0	0	0
ENSMUSG00000087870_Gm26100	0	0	0	0	0	0	0	0	0
ENSMUSG00000087871_Gm26101	0	0	0	0	0	0	0	0	0
ENSMUSG00000087873_Gm26099	0	0	0	0	0	0	0	0	0
ENSMUSG00000087875_Gm26104	0	0	0	0	0	0	0	0	0
ENSMUSG00000087878_Gm26105	0	0	0	0	0	0	0	0	0
ENSMUSG00000087880_Gm23605	0	0	0	0	0	0	0	0	0
ENSMUSG00000087881_Gm22442	27	37	56	50	60	47	57	54	42
ENSMUSG00000087883_Gm23602	0	0	0	0	0	0	0	0	0
ENSMUSG00000087884_Gm23601	0	0	0	0	0	0	0	0	0
ENSMUSG00000087887_Gm23598	0	0	0	0	0	0	0	1	0
ENSMUSG00000087892_Gm25278	0	1	0	0	0	1	4	0	0
ENSMUSG00000087893_Gm23441	0	0	0	0	0	0	0	0	0
ENSMUSG00000087894_Gm25280	0	0	0	0	0	0	0	0	0
ENSMUSG00000087897_Gm25283	0	0	0	0	0	0	0	0	0
ENSMUSG00000087899_Mir1942	0	0	0	0	0	0	0	0	0
ENSMUSG00000087903_Gm22039	0	0	1	0	1	0	0	0	0
ENSMUSG00000087908_Gm22034	0	0	0	0	0	0	0	0	0
ENSMUSG00000087912_Gm24916	0	0	0	0	0	0	0	0	0
ENSMUSG00000087916_Gm24912	0	0	0	0	0	0	0	0	0
ENSMUSG00000087917_Gm24911	0	0	0	0	0	0	0	0	0
ENSMUSG00000087919_Gm24908	0	0	0	0	0	0	0	0	0
ENSMUSG00000087922_Gm23229	0	0	0	0	0	0	0	0	0
ENSMUSG00000087923_Gm23230	0	0	0	0	0	0	0	0	0
ENSMUSG00000087924_Gm23231	1	0	0	0	0	0	0	0	0
ENSMUSG00000087926_Gm23233	0	0	0	0	2	0	0	0	0
ENSMUSG00000087929_Gm23234	0	0	0	0	0	0	0	0	0
ENSMUSG00000087930_Gm26048	0	0	0	0	0	0	0	0	0
ENSMUSG00000087932_Mir1971	0	0	0	0	0	0	0	0	0
ENSMUSG00000087933_Gm26047	0	0	0	0	0	0	0	0	0
ENSMUSG00000087935_Snora81	129.56	232	366.79	316.24	374.2	347.02	348.51	153.25	194.62
ENSMUSG00000087936_Gm23675	0	0	0	0	0	0	0	0	0
